Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-06-07,153.05,154.20,150.80,150.98,4858631.00,0.00,1.00,153.05,154.20,150.80,150.98,4858631.00
2017-06-06,152.00,152.89,152.00,152.37,3786593.00,0.00,1.00,152.00,152.89,152.00,152.37,3786593.00
2017-06-05,151.82,152.93,151.68,152.41,3971157.00,0.00,1.00,151.82,152.93,151.68,152.41,3971157.00
2017-06-02,153.07,153.20,151.80,152.05,3573193.00,0.00,1.00,153.07,153.20,151.80,152.05,3573193.00
2017-06-01,152.80,152.87,151.63,152.67,2904189.00,0.00,1.00,152.80,152.87,151.63,152.67,2904189.00
2017-05-31,152.03,152.80,151.65,152.63,3496466.00,0.00,1.00,152.03,152.80,151.65,152.63,3496466.00
2017-05-30,151.95,152.67,151.59,151.73,3609710.00,0.00,1.00,151.95,152.67,151.59,151.73,3609710.00
2017-05-26,152.85,153.00,152.06,152.49,2440117.00,0.00,1.00,152.85,153.00,152.06,152.49,2440117.00
2017-05-25,153.25,153.73,152.95,153.20,2579828.00,0.00,1.00,153.25,153.73,152.95,153.20,2579828.00
2017-05-24,152.21,152.76,151.23,152.51,3731333.00,0.00,1.00,152.21,152.76,151.23,152.51,3731333.00
2017-05-23,152.57,153.68,151.92,152.03,2563975.00,0.00,1.00,152.57,153.68,151.92,152.03,2563975.00
2017-05-22,152.10,152.84,151.60,152.64,3248372.00,0.00,1.00,152.10,152.84,151.60,152.64,3248372.00
2017-05-19,151.01,152.46,150.89,151.98,5617824.00,0.00,1.00,151.01,152.46,150.89,151.98,5617824.00
2017-05-18,150.86,151.33,150.11,150.78,3268772.00,0.00,1.00,150.86,151.33,150.11,150.78,3268772.00
2017-05-17,153.30,154.14,150.89,150.93,5048937.00,0.00,1.00,153.30,154.14,150.89,150.93,5048937.00
2017-05-16,151.66,153.99,151.66,153.68,5452539.00,0.00,1.00,151.66,153.99,151.66,153.68,5452539.00
2017-05-15,150.62,151.83,150.45,151.51,4218359.00,0.00,1.00,150.62,151.83,150.45,151.51,4218359.00
2017-05-12,150.30,151.26,150.00,150.37,3651964.00,0.00,1.00,150.30,151.26,150.00,150.37,3651964.00
2017-05-11,151.05,151.15,149.79,150.65,5546379.00,0.00,1.00,151.05,151.15,149.79,150.65,5546379.00
2017-05-10,151.65,152.37,151.13,151.25,4995590.00,0.00,1.00,151.65,152.37,151.13,151.25,4995590.00
2017-05-09,152.60,153.10,151.56,152.11,6823015.00,0.00,1.00,152.60,153.10,151.56,152.11,6823015.00
2017-05-08,152.80,153.47,152.20,153.03,7415765.00,1.50,1.00,152.80,153.47,152.20,153.03,7415765.00
2017-05-05,153.52,155.78,153.00,155.05,12415240.00,0.00,1.00,152.03,154.27,151.51,153.54,12415240.00
